rl,asin,name,overview,price,currency,availability,brand,about_item,img_source,description,specifications,primary_category,category_1,category_2,category_3,breadcrumbs
https://www.amazon.in/dp/1788832566,1788832566,Hands-On Design Patterns with C++: Solve common C++ problems with modern design patterns and build robust applications,[],"1,600.00",INR,,"by               
        Fedor G. Pikus  (Author)    › Visit Amazon's Fedor G. Pikus Page   Find all the books, read about the author, and more.   See search results for this author        Fedor G. Pikus   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51piJ5Bb58L._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51Be+57L5lL._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/0766199592,0766199592,The Blazing Horizon The True Story of Pawnee Bill and the Oklahoma Boomers,[],"2,399.00",INR,Usually dispatched in 13 to 14 days.,"by               
Ernest Lynn 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41ENRY75dIL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/31dpIJP-3JL._SS522_.jpg",,[],Books,Action & Adventure,,,Books | Action & Adventure
https://www.amazon.in/dp/B071ZCD9XH,B071ZCD9XH,Fast and easy lunch box: A collection of 15easy recipes for busy people (Easy and Fast Cooking Recupe Books),[],,,,"by                    
Ninety Nine Cents Press 
(Author, Editor) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/41g9Z21QuGL._SS522_.jpg,,[],Kindle Store,Kindle eBooks,"Crafts, Home & Lifestyle",,"Kindle Store | Kindle eBooks | Crafts, Home & Lifestyle"
https://www.amazon.in/dp/B00IG6EML8,B00IG6EML8,European Foreign Policy Scorecard 2014,[],,,,"by             
Mark Leonard 
(Editor),  


Hans Kundnani 
(Editor) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/41MsQ8IKFKL.jpg,,[],Kindle Store,Kindle eBooks,Politics,,Kindle Store | Kindle eBooks | Politics
https://www.amazon.in/dp/1637583060,1637583060,The 13th Hour: Chaos (Volume 2) (The Nick Quinn Thriller Series),[],"1,849.00",INR,Usually dispatched in 13 to 14 days.,"by               
        Richard Doetsch  (Author)    › Visit Amazon's Richard Doetsch Page   Find all the books, read about the author, and more.   See search results for this author        Richard Doetsch   
(Author)",,https://images-na.ssl-images-amazon.com/images/I/51UN8vuQZKL._SS522_.jpg,,[],Books,"Crime, Thriller & Mystery",Thrillers and Suspense,,"Books | Crime, Thriller & Mystery | Thrillers and Suspense"
https://www.amazon.in/dp/0198150164,0198150164,Valerius Maximus' Memorable Deeds and Sayings Book 1 (Clarendon Ancient History Series),[],,,,"by             
        Valerius Maximus  (Author)    › Visit Amazon's Valerius Maximus Page   Find all the books, read about the author, and more.   See search results for this author        Valerius Maximus   
(Author),  


D. Wardle 
(Translator)",,"https://images-na.ssl-images-amazon.com/images/I/41y4OkLc8WL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/31bw7Gd4+CL._SS522_.jpg",,[],Books,Higher Education Textbooks,Humanities,,Books | Higher Education Textbooks | Humanities
https://www.amazon.in/dp/0307475557,0307475557,The Adventures of Tom Sawyer: A Novel (Vintage Classics),[],139.00,INR,,"by               
        Mark Twain  (Author)    › Visit Amazon's Mark Twain Page   Find all the books, read about the author, and more.   See search results for this author        Mark Twain   
(Author)",,https://images-na.ssl-images-amazon.com/images/I/41xAJORZ8JL._SS522_.jpg,,[],Books,Children's & Young Adult,Literature & Fiction,,Books | Children's & Young Adult | Literature & Fiction
https://www.amazon.in/dp/1524797650,1524797650,Phasma (Star Wars): Journey to Star Wars: The Last Jedi,[],735.00,INR,Usually dispatched in 2 to 3 weeks.,"by               
        Delilah S. Dawson  (Author)    › Visit Amazon's Delilah S. Dawson Page   Find all the books, read about the author, and more.   See search results for this author        Delilah S. Dawson   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51-Ce4wZgdL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51UO5Va0cHL._SS522_.jpg",,[],Books,Science Fiction & Fantasy,Science Fiction,,Books | Science Fiction & Fantasy | Science Fiction
https://www.amazon.in/dp/B00BKGTNLU,B00BKGTNLU,Nemesis,[],,,,"by               
Adrian Davieson 
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/511GocUdhuL._SS522_.jpg,,[],Kindle Store,Kindle eBooks,"Crafts, Home & Lifestyle",,"Kindle Store | Kindle eBooks | Crafts, Home & Lifestyle"
https://www.amazon.in/dp/1542759455,1542759455,Eyes Wide Open: 2,[],563.00,INR,Usually dispatched in 1 to 3 weeks.,"by               
Richard W. Mccuistian 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41jgj3xOZfL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51tP71Sba0L._SS522_.jpg",,[],Books,Action & Adventure,,,Books | Action & Adventure
